269, -52, -15, -16
285, -52, -15, -16
319, -53, -16, -16
369, -53, -15, -17
402, -53, -15, -15
419, -52, -15, -18
452, -52, -14, -15
486, -53, -15, -17
519, -53, -15, -16
552, -52, -15, -16
586, -53, -15, -17
619, -53, -15, -17
635, -53, -15, -16
669, -52, -15, -18
702, -52, -15, -16
736, -52, -15, -17
769, -53, -15, -17
802, -52, -14, -16
836, -53, -15, -17
852, -53, -15, -17
886, -52, -15, -17
919, -53, -14, -17
952, -53, -15, -16
986, -53, -15, -17
1002, -53, -15, -18
1036, -53, -15, -15
1069, -52, -15, -19
1102, -52, -15, -16
1136, -53, -15, -18
1169, -52, -15, -17
1186, -52, -15, -17
1219, -53, -15, -16
1252, -53, -14, -17
1286, -53, -14, -17
1319, -53, -15, -17
1336, -52, -15, -17
1369, -52, -14, -17
1403, -52, -15, -17
1437, -53, -15, -17
1469, -53, -15, -17
1503, -53, -16, -16
1519, -53, -15, -17
1553, -53, -15, -17
1586, -53, -15, -16
1619, -53, -15, -17
1653, -52, -15, -17
1686, -52, -15, -18
1702, -53, -15, -15
1736, -52, -15, -18
1769, -53, -15, -15
1802, -53, -16, -19
1836, -53, -15, -16
1869, -52, -15, -16
1886, -53, -15, -17
1919, -53, -15, -17
1953, -53, -15, -16
1986, -53, -15, -17
2019, -52, -15, -16
2053, -52, -14, -16
2086, -52, -15, -17
2102, -52, -15, -17
2136, -52, -15, -17
2169, -53, -15, -17
2202, -53, -15, -17
2236, -52, -16, -17
2269, -52, -15, -16
2286, -53, -15, -17
2319, -52, -14, -16
2353, -52, -15, -17
2386, -53, -15, -16
2419, -52, -15, -16
2436, -53, -15, -15
2469, -53, -15, -18
2503, -53, -15, -16
2536, -53, -15, -17
2569, -53, -15, -17
2603, -53, -15, -17
2620, -53, -15, -16
2653, -53, -15, -17
2686, -52, -15, -16
2719, -53, -15, -18
2753, -53, -15, -17
2786, -53, -15, -17
2803, -51, -14, -16
2836, -52, -15, -18
2870, -53, -15, -15
2903, -52, -16, -17
2936, -52, -15, -20
2953, -53, -14, -18
2986, -52, -14, -18
3020, -50, -14, -15
3053, -52, -14, -18
3086, -53, -16, -16
3119, -53, -16, -17
3136, -52, -16, -18
3170, -52, -15, -16
3203, -53, -16, -16
3236, -52, -17, -15
3269, -53, -18, -15
3303, -53, -18, -16
3336, -53, -17, -15
3353, -51, -17, -16
3386, -52, -17, -16
3419, -53, -16, -17
3453, -52, -16, -16
3486, -52, -16, -16
3520, -53, -16, -18
3536, -51, -16, -18
3570, -53, -16, -16
3603, -53, -16, -17
3636, -52, -15, -19
3670, -52, -14, -16
3703, -51, -16, -15
3720, -51, -16, -18
3753, -53, -16, -18
3786, -53, -15, -17
3820, -53, -15, -16
3853, -51, -15, -17
3886, -53, -14, -16
3903, -51, -16, -14
3936, -51, -15, -16
3970, -52, -16, -17
4003, -54, -17, -19
4036, -53, -16, -19
4053, -52, -15, -17
4086, -51, -15, -16
4120, -51, -15, -16
4153, -52, -16, -16
4186, -52, -17, -15
4221, -52, -17, -17
4236, -53, -15, -19
4270, -52, -13, -17
4303, -53, -15, -16
4337, -52, -17, -18
4370, -51, -17, -19
4403, -53, -17, -16
4420, -52, -17, -18
4453, -51, -16, -19
4486, -52, -15, -17
4520, -52, -15, -17
4553, -52, -15, -18
4587, -51, -15, -16
4620, -51, -16, -16
4636, -53, -15, -17
4670, -53, -16, -16
4703, -52, -17, -16
4736, -52, -17, -16
4770, -52, -16, -15
4803, -55, -15, -15
4820, -53, -16, -14
4853, -52, -17, -16
4887, -50, -19, -19
4920, -50, -18, -18
4953, -51, -17, -17
4970, -51, -17, -19
5004, -52, -17, -17
5037, -52, -17, -17
5070, -52, -17, -17
5103, -52, -17, -19
5137, -50, -17, -16
5153, -52, -16, -17
5187, -52, -17, -18
5220, -51, -17, -18
5254, -51, -17, -19
5287, -51, -17, -18
5337, -51, -17, -18
5353, -51, -16, -16
5397, -51, -17, -18
5431, -52, -17, -19
